Band Name,Genre,Has Piano,Headliner,Manager Phone,Special Requests,Twitter,Expected Draw
Main Ten Ants,Rock,0,1,555-555-5555,,main10ants,7000
Buffalo Tiger,Bossanova,1,0,555-555-5555,gluten free food,buffalotiger,500
Master D Tailz,Salsa,1,0,555-555-5555,,masterdtailz,500
Click to Code,Reggae,1,0,555-555-5555,vegan,click2code,1000
Marc & the Benioffs,Folk,0,1,555-555-5555,,marcbenioffs,5000
Code Against the Machine,Electronic,0,0,555-555-5555,need pyrotechnics,codemachine,3000
Architecture in Heroku ,Rock,0,1,555-555-5555,,archeroku,4000
Git onto our cloud,Bossanova,0,0,555-555-5555,,gitcloud,500
Coot Oxen,Salsa,0,0,555-555-5555,,cootoxen,500
"Citizen Developer, I didn't even know her",Reggae,0,0,555-555-5555,,citidev,500
Valid Nation,Electronic,0,0,555-555-5555,,validnation,500
The Click Paths ,Folk,0,0,555-555-5555,needs wheelchair access,clickpaths,200
The Makers ,Rock,0,0,555-555-5555,,makers,500
Codee and the Clicks ,Folk,1,0,555-555-5555,need pyrotechnics,codeeclicks,500
The Clicks ,Rock,1,0,555-555-5555,,clicks,500
Meta Data Dogs ,Electronic,0,0,555-555-5555,vegan,metadatadogs,500
Hot Open Leads,Electronic,0,0,555-555-5555,,hotopenleads,500
Meta Daddy,Rock,0,0,555-555-5555,,metadaddy,500
Men at Workflow ,Electronic,0,0,555-555-5555,green M&Ms,menatwork,500
Qwerty & the Key Bangers,Rock,1,0,555-555-5555,,dangerkitty,1000
The Diplomats ,Rock,0,0,555-555-5555,need pyrotechnics,diplomats,250
Direct from San Francisco,Salsa,0,0,555-555-5555,,directfromsf,250
El Tigre & Los Animales ,Bossanova,0,0,555-555-5555,,eltigre,1000
The App Builders,Reggae,0,0,555-555-5555,,appbuilders,3000
Million Dollars,Electronic,0,0,555-555-5555,has fire breathers,Mdollars,3000
The Elementals ,Electronic,0,0,555-555-5555,,elementals,2000
The Errors,Reggae,0,0,555-555-5555,,errors,250
The Servers,Folk,0,0,555-555-5555,,servers,1500
The Pointers,Rock,0,0,555-555-5555,,pointers,2000
SaaSy Ladies,Rock,0,0,555-555-5555,gluten free food,saasyladies,1500
Arcade Water,Rock,0,0,555-555-5555,,arcadewater,250
SoCoMo,Salsa,0,0,555-555-5555,,socomo,3000
House of Code,Electronic,0,0,555-555-5555,need lazers,houseofcode,1000
Run CODE,Electronic,0,0,555-555-5555,,runcode,1500
Q2,Folk,1,0,555-555-5555,,q2,2000
Timmy and the Lords of the Org,Reggae,1,0,555-555-5555,,timmylords,2500
Dingoes Ate My Baby,Rock,1,0,555-555-5555,,dingoesbaby,250
Drive Shaft,Rock,1,0,555-555-5555,needs extra time for art installations,driveshaft,2500
Jesse and the Rippers,Rock,0,0,555-555-5555,,jesserippers,850
Infant Sorrow,Rock,0,0,555-555-5555,,infantsorrow,2000
Hip Alien,Reggae,0,0,555-555-5555,need lazers,hipalien,850
Stack  Attack,Electronic,0,0,555-555-5555,need pyrotechnics,stackattack,1500
Code On,Reggae,1,0,555-555-5555,needs large screen for video projection,codeon,3000
The Schema Builders,Reggae,0,0,555-555-5555,,schemabuilders,500
Wild Data,Salsa,0,0,555-555-5555,,wilddata,1000
Amazingers,Reggae,0,0,555-555-5555,,amazingers,250
Blue Clouds,Salsa,0,0,555-555-5555,need lazers,blueclouds,850
SaaSy in the Sky,Salsa,0,0,555-555-5555,,saasysky,850
Citizen Admin,Folk,1,0,555-555-5555,,citiadmin,2000
